year     Ap    
2009.986 5.51721925548 
2009.999 5.51758361478 
2010.012 5.51808614282 
2010.025 5.51872620955 
2010.038 5.51950318521 
2010.051 5.52041644035 
2010.064 5.52146534578 
2010.077 5.52264927265 
2010.09 5.52396759235 
2010.103 5.52541967661 
2010.116 5.52700489741 
2010.129 5.52872262705 
2010.142 5.53057223813 
2010.155 5.5325531035 
2010.168 5.53466459635 
2010.181 5.53690609014 
2010.194 5.53927695861 
2010.207 5.54177657583 
2010.22 5.54440431612 
2010.233 5.54715955412 
2010.246 5.55004166476 
2010.259 5.55305002325 
2010.272 5.5561840051 
2010.285 5.55944298611 
2010.298 5.56282634237 
2010.311 5.56633345028 
2010.324 5.56996368652 
2010.337 5.57371642804 
2010.35 5.57759105213 
2010.363 5.58158693632 
2010.376 5.58570345848 
2010.389 5.58993999675 
2010.402 5.59429592955 
2010.415 5.59877063561 
2010.428 5.60336349396 
2010.441 5.6080738839 
2010.454 5.61290118504 
2010.467 5.61784477727 
2010.48 5.62290404077 
2010.493 5.62807835604 
2010.506 5.63336710385 
2010.519 5.63876966525 
2010.532 5.64428542161 
2010.545 5.64991375458 
2010.558 5.6556540461 
2010.571 5.6615056784 
2010.584 5.66746803402 
2010.597 5.67354049577 
2010.61 5.67972244677 
2010.623 5.68601327042 
2010.636 5.69241235041 
2010.649 5.69891907075 
2010.662 5.7055328157 
2010.675 5.71225296985 
2010.688 5.71907891807 
2010.701 5.7260100455 
2010.714 5.73304573761 
2010.727 5.74018538014 
2010.74 5.74742835912 
2010.753 5.75477406088 
2010.766 5.76222187205 
2010.779 5.76977117954 
2010.792 5.77742137056 
2010.805 5.7851718326 
2010.818 5.79302195346 
2010.831 5.80097112122 
2010.844 5.80901872426 
2010.857 5.81716415124 
2010.87 5.82540679113 
2010.883 5.83374603318 
2010.896 5.84218126694 
2010.909 5.85071188224 
2010.922 5.85933726921 
2010.935 5.86805681829 
2010.948 5.87686992018 
2010.961 5.88577596589 
2010.974 5.89477434672 
2010.987 5.90386445428 
2011.0 5.91304568043 
2011.013 5.92231741736 
2011.026 5.93167905754 
2011.039 5.94112999374 
2011.052 5.950669619 
2011.065 5.96029732668 
2011.078 5.97001251041 
2011.091 5.97981456413 
2011.104 5.98970288206 
2011.117 5.99967685872 
2011.13 6.00973588893 
2011.143 6.01987936777 
2011.156 6.03010669065 
2011.169 6.04041725325 
2011.182 6.05081045156 
2011.195 6.06128568184 
2011.208 6.07184234066 
2011.221 6.08247982487 
2011.234 6.09319753163 
2011.247 6.10399485838 
2011.26 6.11487120284 
2011.273 6.12582596306 
2011.286 6.13685853734 
2011.299 6.14796832429 
2011.312 6.15915472283 
2011.325 6.17041713215 
2011.338 6.18175495173 
2011.351 6.19316758135 
2011.364 6.2046544211 
2011.377 6.21621487133 
2011.39 6.22784833271 
2011.403 6.23955420619 
2011.416 6.251331893 
2011.429 6.26318079468 
2011.442 6.27510031307 
2011.455 6.28708985028 
2011.468 6.29914880873 
2011.481 6.31127659111 
2011.494 6.32347260044 
2011.507 6.33573623999 
2011.52 6.34806691336 
2011.533 6.36046402441 
2011.546 6.37292697732 
2011.559 6.38545517654 
2011.572 6.39804802682 
2011.585 6.41070493322 
2011.598 6.42342530107 
2011.611 6.43620853599 
2011.624 6.44905404391 
2011.637 6.46196123105 
2011.65 6.47492950391 
2011.663 6.48795826929 
2011.676 6.50104693429 
2011.689 6.51419490628 
2011.702 6.52740159294 
2011.715 6.54066640225 
2011.728 6.55398874246 
2011.741 6.56736802213 
2011.754 6.5808036501 
2011.767 6.59429503552 
2011.78 6.60784158781 
2011.793 6.6214427167 
2011.806 6.63509783221 
2011.819 6.64880634464 
2011.832 6.66256766459 
2011.845 6.67638120296 
2011.858 6.69024637093 
2011.871 6.70416257998 
2011.884 6.71812924189 
2011.897 6.73214576871 
2011.91 6.7462115728 
2011.923 6.76032606681 
2011.936 6.77448866368 
2011.949 6.78869877664 
2011.962 6.80295581922 
2011.975 6.81725920523 
2011.988 6.83160834879 
2012.001 6.8460026643 
2012.014 6.86044156645 
2012.027 6.87492447023 
2012.04 6.88945079092 
2012.053 6.90401994409 
2012.066 6.91863134561 
2012.079 6.93328441163 
2012.092 6.9479785586 
2012.105 6.96271320327 
2012.118 6.97748776268 
2012.131 6.99230165413 
2012.144 7.00715429527 
2012.157 7.02204510399 
2012.17 7.03697349851 
2012.183 7.05193889731 
2012.196 7.06694071919 
2012.209 7.08197838323 
2012.222 7.0970513088 
2012.235 7.11215891558 
2012.248 7.12730062351 
2012.261 7.14247585285 
2012.274 7.15768402414 
2012.287 7.17292455822 
2012.3 7.18819687622 
2012.313 7.20350039956 
2012.326 7.21883454995 
2012.339 7.23419874939 
2012.352 7.24959242019 
2012.365 7.26501498494 
2012.378 7.28046586652 
2012.391 7.2959444881 
2012.404 7.31145027315 
2012.417 7.32698264544 
2012.43 7.34254102901 
2012.443 7.35812484822 
2012.456 7.37373352769 
2012.469 7.38936649236 
2012.482 7.40502316745 
2012.495 7.42070297848 
2012.508 7.43640535125 
2012.521 7.45212971186 
2012.534 7.46787548671 
2012.547 7.48364210247 
2012.56 7.49942898614 
2012.573 7.51523556497 
2012.586 7.53106126653 
2012.599 7.54690551867 
2012.612 7.56276774954 
2012.625 7.57864738759 
2012.638 7.59454386153 
2012.651 7.61045660039 
2012.664 7.6263850335 
2012.677 7.64232859045 
2012.69 7.65828670116 
2012.703 7.67425879581 
2012.716 7.6902443049 
2012.729 7.70624265919 
2012.742 7.72225328976 
2012.755 7.73827562798 
2012.768 7.7543091055 
2012.781 7.77035315427 
2012.794 7.78640720653 
2012.807 7.80247069481 
2012.82 7.81854305194 
2012.833 7.83462371104 
2012.846 7.85071210551 
2012.859 7.86680766906 
2012.872 7.88290983569 
2012.885 7.89901803969 
2012.898 7.91513171562 
2012.911 7.93125029837 
2012.924 7.94737322311 
2012.937 7.96349992528 
2012.95 7.97962984064 
2012.963 7.99576240524 
2012.976 8.0118970554 
2012.989 8.02803322775 
2013.002 8.04417035922 
2013.015 8.06030788701 
2013.028 8.07644524863 
2013.041 8.09258188188 
2013.054 8.10871722485 
2013.067 8.12485071591 
2013.08 8.14098179374 
2013.093 8.15710989732 
2013.106 8.17323446589 
2013.119 8.18935493902 
2013.132 8.20547075653 
2013.145 8.22158135858 
2013.158 8.23768618559 
2013.171 8.25378467827 
2013.184 8.26987627765 
2013.197 8.28596042503 
2013.21 8.30203656201 
2013.223 8.31810413048 
2013.236 8.33416257263 
2013.249 8.35021133092 
2013.262 8.36624984813 
2013.275 8.38227756732 
2013.288 8.39829393184 
2013.301 8.41429838534 
2013.314 8.43029037175 
2013.327 8.44626933531 
2013.34 8.46223472053 
2013.353 8.47818597224 
2013.366 8.49412253554 
2013.379 8.51004385583 
2013.392 8.52594937881 
2013.405 8.54183855046 
2013.418 8.55771081705 
2013.431 8.57356562516 
2013.444 8.58940242165 
